GEO_ID,NAME,B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M
0400000US04,Arizona,5088675,595,90450,2707,1423,329,1287,432,2566,500,4269,556,9551,1070,5761,744,11055,1187,46413,2391,12627,992,45470,2255,62226,2575,57225,2262,75710,3249,114702,3816,988757,8872,205471,3964,387389,6076,798260,7659,471723,5140,1035236,9405,476310,5873,106233,3016,78561,2501
0500000US04001,"Apache County, Arizona",42350,249,773,128,3,6,0,33,29,32,34,22,104,38,82,39,351,126,281,93,290,100,689,139,718,182,1194,188,1324,186,474,128,11943,614,1398,230,1350,288,10267,591,4031,399,4057,379,2471,426,149,74,338,158
0500000US04003,"Cochise County, Arizona",89778,172,853,218,13,21,12,18,22,24,53,49,278,138,58,55,182,91,727,224,312,124,1278,253,1219,331,1369,296,1471,337,1767,370,17188,859,4949,515,6669,633,16457,856,9678,786,15198,1007,7612,659,1275,312,1138,272
0500000US04005,"Coconino County, Arizona",88196,208,803,203,9,9,23,17,74,56,26,20,42,37,62,25,200,97,531,241,212,104,636,180,784,256,1103,262,1403,315,1142,251,16501,834,2138,348,4616,654,14389,961,7923,745,20755,1112,10273,819,1979,300,2572,380
0500000US04007,"Gila County, Arizona",40390,120,216,102,14,26,5,9,4,6,66,68,39,52,83,102,38,54,134,100,38,52,298,116,190,116,830,225,1112,283,785,256,10658,669,2437,438,3753,475,8109,642,4015,511,4740,590,2053,378,495,192,278,125
0500000US04009,"Graham County, Arizona",25235,115,423,173,1,5,0,30,4,8,28,37,0,30,11,18,4,11,91,61,45,40,720,187,305,146,660,222,841,232,664,199,5852,507,2058,332,2077,319,5041,431,2731,418,2505,436,951,200,139,90,84,60
0500000US04011,"Greenlee County, Arizona",6374,115,387,186,0,20,0,20,0,20,0,20,0,20,0,20,11,18,3,7,20,32,135,127,69,90,34,29,90,64,176,127,1574,270,373,186,492,131,1262,315,418,149,858,230,401,186,53,61,18,20
0500000US04012,"La Paz County, Arizona",13434,187,228,106,0,22,0,22,19,34,16,21,10,15,34,35,63,76,207,142,51,36,55,48,313,210,276,121,409,190,318,123,4157,524,804,226,862,154,2376,391,1428,325,1331,303,386,122,61,41,30,24
0500000US04013,"Maricopa County, Arizona",3113890,*****,59741,2146,982,254,936,415,1710,414,2464,422,6239,943,3129,524,6532,974,31703,2105,6866,809,24963,1720,33426,1931,29792,1807,39309,2583,71209,2771,571768,6770,112194,3034,227750,4173,458745,5885,282248,4192,705905,7029,315689,4529,72529,2634,48061,1873
0500000US04015,"Mohave County, Arizona",172400,185,2975,481,69,53,73,87,136,142,163,171,220,199,62,53,95,82,544,177,357,191,1507,344,1751,396,3133,486,4169,576,5296,649,47257,1669,11616,996,18294,1067,31598,1636,16846,976,16295,973,7148,772,1553,343,1243,324
0500000US04017,"Navajo County, Arizona",72679,91,1275,243,0,33,0,33,7,8,30,23,111,54,138,91,280,91,291,125,361,186,998,186,852,181,1560,330,2613,344,1334,214,19241,881,2952,416,5104,632,14764,898,6883,619,8471,768,4068,507,747,191,599,204
0500000US04019,"Pima County, Arizona",730009,98,10345,913,202,123,178,95,134,102,416,205,875,244,867,363,1038,279,4102,712,1930,417,6457,771,9082,936,7310,722,10152,1003,16093,1043,126588,3030,27619,1548,54599,1953,116518,2980,66903,2229,151514,3344,80343,1995,18541,1114,18203,1078
0500000US04021,"Pinal County, Arizona",332152,184,5500,888,106,101,0,33,123,92,226,180,322,150,330,188,779,268,2031,353,822,211,3622,526,4096,577,4533,592,5957,771,7566,877,79430,2560,20120,1343,30100,1636,57139,2137,34724,1561,49815,2125,19578,1361,2715,404,2518,372
0500000US04023,"Santa Cruz County, Arizona",31825,142,885,234,7,10,0,30,0,30,34,36,130,78,140,74,303,161,799,209,227,132,562,199,1567,314,710,210,791,245,1291,280,6636,592,1885,350,1426,273,4376,513,2691,502,4470,401,2187,306,452,166,256,95
0500000US04025,"Yavapai County, Arizona",192027,135,1912,419,0,33,53,47,11,23,120,86,165,132,48,59,294,183,602,200,286,251,1130,257,1348,370,1964,458,2998,588,3126,498,38126,1741,8225,851,18540,982,35094,1540,19889,1088,34634,1760,16650,979,3979,534,2833,423
0500000US04027,"Yuma County, Arizona",137936,230,4134,598,17,14,7,11,293,174,593,249,1016,303,717,273,885,368,4367,675,810,256,2420,429,6506,795,2757,479,3071,474,3461,521,31838,1334,6703,794,11757,936,22125,1169,11315,953,14688,1160,6500,650,1566,399,390,126
0500000US04001,"Apache County, Arizona",42350,249,773,128,3,6,0,33,29,32,34,22,104,38,82,39,351,126,281,93,290,100,689,139,718,182,1194,188,1324,186,474,128,11943,614,1398,230,1350,288,10267,591,4031,399,4057,379,2471,426,149,74,338,158
0500000US04003,"Cochise County, Arizona",89778,172,853,218,13,21,12,18,22,24,53,49,278,138,58,55,182,91,727,224,312,124,1278,253,1219,331,1369,296,1471,337,1767,370,17188,859,4949,515,6669,633,16457,856,9678,786,15198,1007,7612,659,1275,312,1138,272
0500000US04005,"Coconino County, Arizona",88196,208,803,203,9,9,23,17,74,56,26,20,42,37,62,25,200,97,531,241,212,104,636,180,784,256,1103,262,1403,315,1142,251,16501,834,2138,348,4616,654,14389,961,7923,745,20755,1112,10273,819,1979,300,2572,380
0500000US04007,"Gila County, Arizona",40390,120,216,102,14,26,5,9,4,6,66,68,39,52,83,102,38,54,134,100,38,52,298,116,190,116,830,225,1112,283,785,256,10658,669,2437,438,3753,475,8109,642,4015,511,4740,590,2053,378,495,192,278,125
0500000US04009,"Graham County, Arizona",25235,115,423,173,1,5,0,30,4,8,28,37,0,30,11,18,4,11,91,61,45,40,720,187,305,146,660,222,841,232,664,199,5852,507,2058,332,2077,319,5041,431,2731,418,2505,436,951,200,139,90,84,60
0500000US04011,"Greenlee County, Arizona",6374,115,387,186,0,20,0,20,0,20,0,20,0,20,0,20,11,18,3,7,20,32,135,127,69,90,34,29,90,64,176,127,1574,270,373,186,492,131,1262,315,418,149,858,230,401,186,53,61,18,20
0500000US04012,"La Paz County, Arizona",13434,187,228,106,0,22,0,22,19,34,16,21,10,15,34,35,63,76,207,142,51,36,55,48,313,210,276,121,409,190,318,123,4157,524,804,226,862,154,2376,391,1428,325,1331,303,386,122,61,41,30,24
0500000US04013,"Maricopa County, Arizona",3113890,*****,59741,2146,982,254,936,415,1710,414,2464,422,6239,943,3129,524,6532,974,31703,2105,6866,809,24963,1720,33426,1931,29792,1807,39309,2583,71209,2771,571768,6770,112194,3034,227750,4173,458745,5885,282248,4192,705905,7029,315689,4529,72529,2634,48061,1873
0500000US04015,"Mohave County, Arizona",172400,185,2975,481,69,53,73,87,136,142,163,171,220,199,62,53,95,82,544,177,357,191,1507,344,1751,396,3133,486,4169,576,5296,649,47257,1669,11616,996,18294,1067,31598,1636,16846,976,16295,973,7148,772,1553,343,1243,324
0500000US04017,"Navajo County, Arizona",72679,91,1275,243,0,33,0,33,7,8,30,23,111,54,138,91,280,91,291,125,361,186,998,186,852,181,1560,330,2613,344,1334,214,19241,881,2952,416,5104,632,14764,898,6883,619,8471,768,4068,507,747,191,599,204
0500000US04019,"Pima County, Arizona",730009,98,10345,913,202,123,178,95,134,102,416,205,875,244,867,363,1038,279,4102,712,1930,417,6457,771,9082,936,7310,722,10152,1003,16093,1043,126588,3030,27619,1548,54599,1953,116518,2980,66903,2229,151514,3344,80343,1995,18541,1114,18203,1078
0500000US04021,"Pinal County, Arizona",332152,184,5500,888,106,101,0,33,123,92,226,180,322,150,330,188,779,268,2031,353,822,211,3622,526,4096,577,4533,592,5957,771,7566,877,79430,2560,20120,1343,30100,1636,57139,2137,34724,1561,49815,2125,19578,1361,2715,404,2518,372
0500000US04023,"Santa Cruz County, Arizona",31825,142,885,234,7,10,0,30,0,30,34,36,130,78,140,74,303,161,799,209,227,132,562,199,1567,314,710,210,791,245,1291,280,6636,592,1885,350,1426,273,4376,513,2691,502,4470,401,2187,306,452,166,256,95
0500000US04025,"Yavapai County, Arizona",192027,135,1912,419,0,33,53,47,11,23,120,86,165,132,48,59,294,183,602,200,286,251,1130,257,1348,370,1964,458,2998,588,3126,498,38126,1741,8225,851,18540,982,35094,1540,19889,1088,34634,1760,16650,979,3979,534,2833,423
0500000US04027,"Yuma County, Arizona",137936,230,4134,598,17,14,7,11,293,174,593,249,1016,303,717,273,885,368,4367,675,810,256,2420,429,6506,795,2757,479,3071,474,3461,521,31838,1334,6703,794,11757,936,22125,1169,11315,953,14688,1160,6500,650,1566,399,390,126
